ID, Similarity, Correctness, Validity, Time Complexity Generated, Time Complexity Canonical, Space Complexity Generated, Space Complexity Canonical,security_rating,bugs,code_smells
0,No matches were found in submission.,1.0,1,O(n^2),O(n^2),O(1),O(1),1.0,0,0
1,No matches were found in submission.,0.0,1,O(n),O(n),O(n),O(n),1.0,0,0
2,No matches were found in submission.,1.0,1,O(1),O(n),O(1),O(1),1.0,0,0
3,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
4,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
5,No matches were found in submission.,0.3333333333333333,1,O(n),O(n),O(n),O(n),1.0,0,0
6,No matches were found in submission.,0.0,1,O(n),O(N),O(n),O(N),1.0,0,0
7,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
8,No matches were found in submission., -1,0,O(n),O(n),O(1),O(1),1.0,0,0
9,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(1),1.0,0,0
10,No matches were found in submission.,0.6,1,O(n),O(n^2),O(1),O(n),1.0,0,0
11,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
12,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
13,No matches were found in submission.,1.0,1,"O(log(min(a, b)",O(log(n),O(1),O(1),1.0,0,0
14,No matches were found in submission.,1.0,1,O(n^2),O(n^2),O(n),O(n),1.0,0,0
15,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
16,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
17,No matches were found in submission., -1,0,O(n),O(n),O(n),O(n),1.0,0,0
18,No matches were found in submission.,0.75,1,O(n),O(n),O(1),O(1),1.0,0,0
19,No matches were found in submission.,0.4,1,O(n),O(n),O(n),O(n),1.0,0,0
20,No matches were found in submission.,0.0,1,O(n),O(n^2),O(1),O(1),1.0,0,0
21,No matches were found in submission.,0.0,1,O(n),O(n),O(n),O(n),1.0,0,0
22,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
23,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(n),1.0,0,0
24,No matches were found in submission.,0.0,1,O(n),O(sqrt(n),O(1),O(1),1.0,0,0
25,No matches were found in submission.,0.25,1,O(n),O(sqrt(n),O(n),O(n),1.0,0,0
26,No matches were found in submission.,0.6666666666666666,1,O(n),O(n),O(n),O(n),1.0,0,0
27,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
28,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
29,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
30,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
31,No matches were found in submission.,0.9166666666666666,1,O(n),O(n),O(1),O(1),1.0,0,0
32,No matches were found in submission., -1,0,O(n),O(log n),O(1),),1.0,0,0
33,No matches were found in submission.,0.0,1,O(n),O(n),O(n),O(n),1.0,0,0
34,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
35,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
36,No matches were found in submission.,0.0,1,O(n),O(n),O(1),O(n),1.0,0,0
37,No matches were found in submission.,0.0,1,O(n),O(nlogn),O(n),O(n),1.0,0,0
38,No matches were found in submission., -1,0,O(n),O(n),O(n),O(n),1.0,0,0
39,No matches were found in submission.,0.0,1,O(n),O(n),O(1),O(n),1.0,0,1
40,No matches were found in submission.,0.7777777777777778,1,O(n^2),O(n^3),,O(1),1.0,0,0
41,No matches were found in submission.,0.0,1,O(n),O(n),O(1),O(1),1.0,0,0
42,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
43,No matches were found in submission.,0.6666666666666666,1,O(n),O(n^2),O(n),O(1),1.0,0,0
44,No matches were found in submission.,0.5,1,O(log(x),O(log(x),O(log(x),O(log(x),1.0,0,0
45,No matches were found in submission.,1.0,1,O(1),O(n),O(1),O(1),1.0,0,0
46,No matches were found in submission.,0.0,1,O(n),O(n),O(1),O(n),1.0,0,1
47,No matches were found in submission.,0.6,1,O(n),O(nlogn),O(n),O(n),1.0,0,0
48,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
49,No matches were found in submission.,1.0,1,O(log n),O(n),O(1),O(1),1.0,0,0
50,No matches were found in submission., -1,0,O(n),O(n),O(n),O(n),1.0,0,0
51,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
52,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
53,No matches were found in submission.,1.0,1,O(1),O(n),O(1),O(n),1.0,0,0
54,No matches were found in submission.,0.5714285714285714,1,O(n),O(n),O(n),O(n),1.0,0,0
55,No matches were found in submission.,1.0,1,O(2^n),O(2^n),O(n),O(n),1.0,0,0
56,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
57,No matches were found in submission.,0.5,1,O(n),O(n),O(1),O(1),1.0,0,0
58,No matches were found in submission.,1.0,1,O(n log n),O(n^2),O(n),O(n),1.0,0,0
59,No matches were found in submission.,1.0,1,O(n),O(n),O(1),O(1),1.0,0,0
60,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(1),1.0,0,0
61,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
62,No matches were found in submission.,0.2,1,O(n),O(n),O(n),O(n),1.0,0,0
63,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(n),1.0,0,0
64,No matches were found in submission.,0.42857142857142855,1,O(n),O(n),O(1),O(1),1.0,0,0
65,No matches were found in submission.,0.6,1,O(n),O(n),O(n),O(n),1.0,0,0
66,No matches were found in submission.,0.125,1,O(n),O(n),O(1),O(1),1.0,0,2
67,No matches were found in submission., -1,0,O(n),O(n),O(n),O(n),1.0,0,0
68,No matches were found in submission.,0.25,1,O(n),O(n),O(n),O(n),1.0,0,0
69,No matches were found in submission.,0.4,1,O(n),O(n),O(n),O(n),1.0,0,0
70,No matches were found in submission.,0.3333333333333333,1,O(n),O(n),O(n),O(n),1.0,0,0
71,No matches were found in submission.,0.5555555555555556,1,O(1),O(1),O(1),O(1),1.0,0,0
72,No matches were found in submission.,1.0,1,O(n),O(n),O(n),O(1),1.0,0,0
73,No matches were found in submission.,1.0,1,O(n),O(N),O(1),O(1),1.0,0,0
